Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
38,"A Ampatzoglou, S Bibi, P Avgeriou, M Verbeek…","Identifying, categorizing and mitigating threats to validity in software engineering secondary studies",2019,"… and Software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584918302106","https://scholar.google.com/scholar?cites=1765778293609870110&as_sdt=2005&sciodt=2007&hl=en",25,"2021-04-18 19:41:16","","","","",,,,,38,19.00,8,5,2,"Context Secondary studies are vulnerable to threats to validity. Although, mitigating these threats is crucial for the credibility of these studies, we currently lack a systematic approach to identify, categorize and mitigate threats to validity for secondary studies. Objective In this …"
45,"V Efstathiou, C Chatzilenas, D Spinellis","Word embeddings for the software engineering domain",2018,"… conference on mining software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3196398.3196448","https://scholar.google.com/scholar?cites=14800844911689497958&as_sdt=2005&sciodt=2007&hl=en",26,"2021-04-18 19:41:16","","","","",,,,,45,15.00,15,3,3,"The software development process produces vast amounts of textual data expressed in natural language. Outcomes from the natural language processing community have been adapted in software engineering research for leveraging this rich textual information; these …"
11,"L Zhang, JH Tian, J Jiang, YJ Liu, MY Pu…","Empirical research in software engineering—a literature survey",2018,"Journal of Computer …","Springer","https://link.springer.com/article/10.1007/s11390-018-1864-x","https://scholar.google.com/scholar?cites=9910265893347090829&as_sdt=2005&sciodt=2007&hl=en",27,"2021-04-18 19:41:16","","","","",,,,,11,3.67,2,6,3,"Empirical research is playing a significant role in software engineering (SE), and it has been applied to evaluate software artifacts and technologies. There have been a great number of empirical research articles published recently. There is also a large research community in …"
17,"NR Tadapaneni","Artificial Intelligence In Software Engineering",2017,"Available at SSRN 3591807","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3591807","https://scholar.google.com/scholar?cites=8154252031452509341&as_sdt=2005&sciodt=2007&hl=en",28,"2021-04-18 19:41:16","","","","",,,,,17,4.25,17,1,4,"In the last few years, there has been a growing surge for the interest in the application of artificial intelligence in issues in Software Engineering (SE). Artificial Intelligence has become a much powerful and easy to use as they are increasingly deployed for different key …"
28,"J Cabot, R Clarisó, M Brambilla, S Gérard","Cognifying model-driven software engineering",2017,"… Conferences on Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-74730-9_13","https://scholar.google.com/scholar?cites=12796985235115154460&as_sdt=2005&sciodt=2007&hl=en",29,"2021-04-18 19:41:16","","","","",,,,,28,7.00,7,4,4,"The limited adoption of Model-Driven Software Engineering (MDSE) is due to a variety of social and technical factors, which can be summarized in one: its (real or perceived) benefits do not outweigh its costs. In this vision paper we argue that the cognification of MDSE has …"
23,"A Akbulut, C Catal, B Yıldız","On the effectiveness of virtual reality in the education of software engineering",2018,"… Applications in Engineering …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.21935","https://scholar.google.com/scholar?cites=13004934133242271219&as_sdt=2005&sciodt=2007&hl=en",30,"2021-04-18 19:41:16","","","","",,,,,23,7.67,8,3,3,"The popularity of virtual reality headsets have been rapidly increasing. With this technology, students can efficiently interact with the course content and learn the material faster than the traditional methodologies. In addition to this benefit, virtual reality devices also draw the …"
116,"R Jongeling, P Sarkar, S Datta, A Serebrenik","On negative results when using sentiment analysis tools for software engineering research",2017,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-016-9493-x","https://scholar.google.com/scholar?cites=7259599041020226321&as_sdt=2005&sciodt=2007&hl=en",31,"2021-04-18 19:41:16","HTML","","","",,,,,116,29.00,29,4,4,"Recent years have seen an increasing attention to social aspects of software engineering, including studies of emotions and sentiments experienced and expressed by the software developers. Most of these studies reuse existing sentiment analysis tools such as …"
15,"S Baltes, P Ralph","Sampling in software engineering research: A critical review and guidelines",2020,"arXiv preprint arXiv:2002.07764","arxiv.org","https://arxiv.org/abs/2002.07764","https://scholar.google.com/scholar?cites=17915170608942263269&as_sdt=2005&sciodt=2007&hl=en",32,"2021-04-18 19:41:16","","","","",,,,,15,15.00,8,2,1,"Representative sampling appears rare in software engineering research. Not all studies need representative samples, but a general lack of representative sampling undermines a scientific field. This study therefore investigates the state of sampling in recent, high-quality …"
14,"S Al-Fedaghi","Five generic processes for behavior description in software engineering",2019,"arXiv preprint arXiv:1907.11893","arxiv.org","https://arxiv.org/abs/1907.11893","https://scholar.google.com/scholar?cites=3170137935206640547&as_sdt=2005&sciodt=2007&hl=en",33,"2021-04-18 19:41:16","","","","",,,,,14,7.00,14,1,2,"Behavior modeling and software architecture specification are attracting more attention in software engineering. Describing both of them in integrated models yields numerous advantages for coping with complexity since the models are platform independent. They can …"
11,"BA Grüning, S Lampa, M Vaudel, D Blankenberg","Software engineering for scientific big data analysis",2019,"GigaScience","academic.oup.com","https://academic.oup.com/gigascience/article-pdf/doi/10.1093/gigascience/giz054/28698071/giz054.pdf","https://scholar.google.com/scholar?cites=7481037706258256839&as_sdt=2005&sciodt=2007&hl=en",34,"2021-04-18 19:41:16","PDF","","","",,,,,11,5.50,3,4,2,"The increasing complexity of data and analysis methods has created an environment where scientists, who may not have formal training, are finding themselves playing the impromptu role of software engineer. While several resources are available for introducing scientists to …"
